COURSE, Skills
Business Analytics: Prescriptive Analytics,"Big Data,  Machine Learning,  Data Analysis,  Data Modeling, Business Intelligence"
Leading Change,"Small Business Management,  Organizational Leadership,  Nonprofit Management, Executive Leadership,  Communication"
Leadership Foundations,"Leadership,  Organizational Leadership"
Developing Executive Presence,Leadership  Executive Leadership  Communication
Developing Your Leadership Philosophy,Executive Leadership
Designing Growth Strategies,"Leadership,  Business Strategy"
Finding and Retaining High Potentials,"Talent Management,  Small Business Management,  Nonprofit Management, Business Strategy"
Executive Decision Making,"Leadership,  Decision-Making,  Organizational Leadership,  Executive Leadership"
Transitioning from Manager to Leader,"Leadership, Executive Leadership"
Learning to Write a Syllabus,Teaching
Become a Leader,"Business, Leadership, Management"
Learning SCORM and Tin Can API,"E-Learning,  Instructional Design,  SCORM"
